"Ref Name","Component","Center X","Center Y","Rotation"
"C39","Capacitor","3712.9","2219.0","90.00"
"C40","Capacitor","3712.9","1978.1","90.00"
"C41","Capacitor","3711.6","1731.0","90.00"
"C42","Capacitor","3710.4","1486.4","90.00"
"C43","Capacitor","4305.7","3010.3","270.00"
"C44","Capacitor","4307.0","2763.1","270.00"
"C45","Capacitor","4305.7","2519.8","270.00"
"C46","Capacitor","4307.0","2277.7","270.00"
"C47","Capacitor","4307.0","2029.3","270.00"
"C48","Capacitor","4308.2","1788.4","270.00"
"C49","Capacitor","4308.2","1541.3","270.00"
"C50","Capacitor","4308.2","1299.2","270.00"
